// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
00472														0.102257	4.888482	-8.503300	-0.938789	0.344369	0.009194	0.303103	0.813023	0.497114	0.163716	0.469472	-0.867636
00473														0.105596	4.849178	-8.486458	-0.938790	0.344369	0.009161	0.303100	0.813064	0.497048	0.163719	0.469400	-0.867675
00474														0.117989	4.915157	-8.547919	-0.938785	0.344381	0.009175	0.303123	0.813073	0.497019	0.163704	0.469375	-0.867691
00475														0.101468	4.885771	-8.504867	-0.938774	0.344410	0.009185	0.303168	0.813104	0.496942	0.163683	0.469301	-0.867735
00476														0.118576	4.878219	-8.489519	-0.938775	0.344408	0.009171	0.303165	0.813124	0.496911	0.163682	0.469268	-0.867753
00477														0.117675	4.894928	-8.519739	-0.938772	0.344418	0.009129	0.303165	0.813161	0.496850	0.163701	0.469197	-0.867788
00478														0.151857	4.880698	-8.488547	-0.938769	0.344428	0.009117	0.303179	0.813192	0.496791	0.163695	0.469136	-0.867822
00479														0.102737	4.878817	-8.549062	-0.938761	0.344449	0.009066	0.303184	0.813224	0.496736	0.163728	0.469066	-0.867854
00480														0.102679	4.860327	-8.519874	-0.938758	0.344458	0.009053	0.303197	0.813255	0.496677	0.163722	0.469005	-0.867888
00481														0.133126	4.884429	-8.506112	-0.938758	0.344458	0.009020	0.303194	0.813296	0.496611	0.163726	0.468933	-0.867926
00482														0.101742	4.858408	-8.520979	-0.938756	0.344465	0.008984	0.303190	0.813322	0.496571	0.163745	0.468883	-0.867950
00483														0.097718	4.878289	-8.509204	-0.938750	0.344484	0.008919	0.303190	0.813365	0.496501	0.163782	0.468794	-0.867990
00484														0.097597	4.859881	-8.479973	-0.938751	0.344482	0.008904	0.303187	0.813385	0.496470	0.163782	0.468761	-0.868008
00485														0.110349	4.908300	-8.511755	-0.938742	0.344507	0.008890	0.303214	0.813411	0.496411	0.163786	0.468697	-0.868042
00486														0.082904	4.843873	-8.509199	-0.938741	0.344509	0.008863	0.303214	0.813448	0.496351	0.163788	0.468632	-0.868077
00487														0.098931	4.871392	-8.553340	-0.938734	0.344529	0.008848	0.303232	0.813468	0.496306	0.163794	0.468583	-0.868102
00488														0.109720	4.888116	-8.483557	-0.938726	0.344551	0.008838	0.303254	0.813483	0.496268	0.163800	0.468540	-0.868125
