// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
00472														9.681784	0.567279	-0.970936	-0.102187	-0.059505	0.992984	0.068831	0.995394	0.066732	-0.992381	0.075167	-0.097620
00473														9.703536	0.660375	-0.943480	-0.102192	-0.059407	0.992989	0.068608	0.995417	0.066613	-0.992396	0.074934	-0.097648
00474														9.726412	0.667523	-0.946427	-0.102104	-0.059314	0.993004	0.068465	0.995435	0.066499	-0.992415	0.074776	-0.097577
00475														9.690538	0.703942	-0.916622	-0.102045	-0.059230	0.993015	0.068183	0.995462	0.066383	-0.992440	0.074481	-0.097543
00476														9.699159	0.734927	-0.966246	-0.101912	-0.059215	0.993029	0.067825	0.995490	0.066323	-0.992479	0.074112	-0.097436
00477														9.673854	0.689361	-0.879159	-0.101779	-0.059173	0.993046	0.067503	0.995518	0.066239	-0.992514	0.073775	-0.097328
00478														9.724433	0.677833	-0.924228	-0.101613	-0.059124	0.993066	0.067166	0.995547	0.066144	-0.992554	0.073421	-0.097189
00479														9.740127	0.617565	-0.970303	-0.101483	-0.059058	0.993083	0.066790	0.995580	0.066031	-0.992593	0.073029	-0.097090
00480														9.729498	0.648754	-0.963196	-0.101384	-0.059005	0.993096	0.066443	0.995609	0.065938	-0.992626	0.072669	-0.097019
00481														9.769074	0.618896	-0.938707	-0.101311	-0.058916	0.993109	0.066162	0.995636	0.065815	-0.992652	0.072374	-0.096971
00482														9.732084	0.633137	-0.982848	-0.101224	-0.058846	0.993122	0.065969	0.995655	0.065720	-0.992674	0.072168	-0.096902
00483														9.709331	0.623994	-0.979932	-0.101188	-0.058753	0.993131	0.065822	0.995672	0.065609	-0.992688	0.072008	-0.096883
00484														9.711790	0.609357	-1.000156	-0.101144	-0.058666	0.993141	0.065639	0.995691	0.065501	-0.992704	0.071814	-0.096857
00485														9.729864	0.643847	-0.962787	-0.101090	-0.058579	0.993151	0.065512	0.995706	0.065398	-0.992718	0.071674	-0.096819
00486														9.711908	0.607597	-1.000083	-0.101033	-0.058521	0.993160	0.065437	0.995716	0.065328	-0.992729	0.071589	-0.096771
00487														9.738288	0.623910	-0.949151	-0.101002	-0.058461	0.993167	0.065308	0.995729	0.065253	-0.992740	0.071452	-0.096753
00488														9.721676	0.660210	-0.976442	-0.100967	-0.058393	0.993175	0.065125	0.995747	0.065165	-0.992756	0.071260	-0.096735
00489														9.694058	0.678500	-0.933864	-0.100989	-0.058312	0.993177	0.064953	0.995765	0.065069	-0.992765	0.071081	-0.096774
00490														9.673663	0.656076	-0.951232	-0.100893	-0.058293	0.993188	0.064834	0.995775	0.065031	-0.992783	0.070953	-0.096687
00491														9.682305	0.687175	-1.001078	-0.100845	-0.058252	0.993195	0.064639	0.995792	0.064967	-0.992800	0.070751	-0.096655
00492														9.721827	0.657847	-0.976533	-0.100752	-0.058219	0.993207	0.064501	0.995804	0.064915	-0.992819	0.070603	-0.096574
00493														9.761352	0.628176	-0.952133	-0.100738	-0.058093	0.993215	0.064418	0.995818	0.064779	-0.992825	0.070507	-0.096574
00494														9.763814	0.613193	-0.972434	-0.100702	-0.057956	0.993227	0.064371	0.995831	0.064634	-0.992832	0.070443	-0.096551
00495														9.732731	0.622204	-0.983421	-0.100700	-0.057813	0.993236	0.064441	0.995835	0.064497	-0.992828	0.070500	-0.096555
00496														9.722059	0.653155	-0.977369	-0.100721	-0.057663	0.993242	0.064645	0.995830	0.064368	-0.992812	0.070692	-0.096573
00497														9.687144	0.603324	-0.978591	-0.100716	-0.057497	0.993252	0.064749	0.995833	0.064212	-0.992806	0.070780	-0.096573
00498														9.680029	0.643246	-0.918479	-0.100672	-0.057409	0.993262	0.064793	0.995836	0.064125	-0.992808	0.070812	-0.096533
00499														9.705335	0.636903	-0.941101	-0.100580	-0.057313	0.993277	0.064844	0.995839	0.064027	-0.992814	0.070847	-0.096445
00500														9.705447	0.635967	-0.940582	-0.100488	-0.057209	0.993292	0.064858	0.995845	0.063918	-0.992822	0.070846	-0.096361
00501														9.705547	0.635211	-0.940060	-0.100390	-0.057164	0.993305	0.064774	0.995855	0.063857	-0.992837	0.070750	-0.096271
00502														9.682807	0.626578	-0.936560	-0.100268	-0.057131	0.993319	0.064657	0.995866	0.063805	-0.992857	0.070623	-0.096159
00503														9.710535	0.606959	-0.978708	-0.100130	-0.057114	0.993334	0.064493	0.995879	0.063762	-0.992882	0.070448	-0.096034
00504														9.714179	0.615477	-0.923809	-0.099940	-0.057097	0.993354	0.064301	0.995895	0.063712	-0.992914	0.070241	-0.095859
00505														9.700116	0.638604	-0.969891	-0.099788	-0.057133	0.993367	0.064073	0.995909	0.063715	-0.992944	0.070006	-0.095719
00506														9.731361	0.628239	-0.957958	-0.099610	-0.057147	0.993384	0.063811	0.995927	0.063692	-0.992978	0.069733	-0.095557
00507														9.702401	0.574941	-0.923688	-0.099421	-0.057185	0.993401	0.063571	0.995943	0.063694	-0.993013	0.069484	-0.095382
00508														9.699049	0.566181	-0.976052	-0.099240	-0.057247	0.993415	0.063312	0.995958	0.063718	-0.993047	0.069218	-0.095214
00509														9.742402	0.596614	-0.960528	-0.099098	-0.057326	0.993425	0.063050	0.995971	0.063762	-0.993078	0.068954	-0.095085
00510														9.737654	0.624252	-0.919493	-0.098951	-0.057339	0.993439	0.062767	0.995991	0.063738	-0.993111	0.068662	-0.094956
00511														9.695906	0.666669	-0.923142	-0.098836	-0.057360	0.993449	0.062516	0.996007	0.063727	-0.993138	0.068405	-0.094855
00512														9.718820	0.674931	-0.925084	-0.098669	-0.057416	0.993463	0.062220	0.996025	0.063743	-0.993173	0.068103	-0.094704
00513														9.687788	0.685478	-0.934798	-0.098500	-0.057482	0.993476	0.061841	0.996047	0.063762	-0.993214	0.067718	-0.094555
00514														9.691329	0.694731	-0.879760	-0.098282	-0.057536	0.993494	0.061414	0.996074	0.063760	-0.993262	0.067281	-0.094363
00515														9.719156	0.675457	-0.921164	-0.098076	-0.057606	0.993510	0.060901	0.996105	0.063768	-0.993314	0.066760	-0.094186
00516														9.769803	0.664376	-0.965680	-0.097915	-0.057684	0.993522	0.060346	0.996138	0.063783	-0.993363	0.066201	-0.094056
00517														9.786439	0.627393	-0.937593	-0.097816	-0.057676	0.993532	0.059883	0.996169	0.063725	-0.993401	0.065729	-0.093988
00518														9.763679	0.618563	-0.934404	-0.097724	-0.057621	0.993544	0.059537	0.996196	0.063631	-0.993431	0.065371	-0.093922
00519														9.709786	0.620044	-0.942238	-0.097659	-0.057610	0.993551	0.059191	0.996220	0.063583	-0.993458	0.065018	-0.093880
00520														9.658326	0.608055	-0.969935	-0.097547	-0.057633	0.993561	0.058817	0.996243	0.063564	-0.993491	0.064639	-0.093791
00521														9.718182	0.601179	-0.927569	-0.097434	-0.057630	0.993572	0.058512	0.996264	0.063524	-0.993520	0.064326	-0.093698
00522														9.703697	0.574536	-0.910231	-0.097297	-0.057675	0.993583	0.058144	0.996285	0.063525	-0.993556	0.063951	-0.093582
00523														9.707631	0.633215	-0.919675	-0.097125	-0.057683	0.993599	0.057813	0.996306	0.063491	-0.993592	0.063610	-0.093432
00524														9.764156	0.617228	-0.930291	-0.096937	-0.057735	0.993614	0.057469	0.996326	0.063500	-0.993630	0.063258	-0.093263
00525														9.707852	0.633328	-0.917256	-0.096782	-0.057784	0.993627	0.057139	0.996344	0.063507	-0.993664	0.062921	-0.093127
00526														9.707935	0.633685	-0.916131	-0.096606	-0.057879	0.993638	0.056762	0.996363	0.063556	-0.993703	0.062540	-0.092969
00527														9.729474	0.569786	-0.927321	-0.096467	-0.057980	0.993646	0.056346	0.996383	0.063610	-0.993740	0.062124	-0.092851
00528														9.737811	0.552044	-0.912458	-0.096293	-0.058086	0.993657	0.055899	0.996405	0.063664	-0.993782	0.061675	-0.092700
00529														9.717508	0.530875	-0.928368	-0.096140	-0.058239	0.993663	0.055541	0.996418	0.063775	-0.993817	0.061320	-0.092561
