// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
00472														9.320494	0.810513	-3.077381	-0.060844	-0.317097	0.946440	-0.905718	0.416038	0.081164	-0.419492	-0.852269	-0.312513
00473														9.295620	0.795946	-3.057575	-0.060573	-0.316902	0.946522	-0.905769	0.415903	0.081282	-0.419420	-0.852407	-0.312233
00474														9.299452	0.804167	-3.078304	-0.060371	-0.316738	0.946590	-0.905806	0.415808	0.081363	-0.419370	-0.852515	-0.312006
00475														9.302730	0.767303	-3.036572	-0.060170	-0.316584	0.946654	-0.905836	0.415724	0.081453	-0.419334	-0.852612	-0.311787
00476														9.297487	0.796982	-3.051623	-0.060049	-0.316413	0.946719	-0.905849	0.415690	0.081476	-0.419322	-0.852692	-0.311584
00477														9.284500	0.767235	-3.061853	-0.059943	-0.316284	0.946769	-0.905863	0.415655	0.081503	-0.419308	-0.852757	-0.311425
00478														9.315114	0.833493	-3.060075	-0.059895	-0.316137	0.946821	-0.905875	0.415635	0.081473	-0.419288	-0.852822	-0.311275
00479														9.301957	0.803350	-3.070938	-0.059866	-0.316064	0.946847	-0.905874	0.415638	0.081468	-0.419295	-0.852847	-0.311197
00480														9.315661	0.832431	-3.058700	-0.059839	-0.315994	0.946872	-0.905862	0.415663	0.081470	-0.419324	-0.852861	-0.311120
00481														9.296416	0.832110	-3.087197	-0.059842	-0.315995	0.946872	-0.905830	0.415730	0.081492	-0.419394	-0.852828	-0.311116
00482														9.324592	0.809902	-3.065104	-0.059884	-0.316030	0.946858	-0.905797	0.415802	0.081494	-0.419460	-0.852780	-0.311158
00483														9.312239	0.823775	-3.036795	-0.059924	-0.316073	0.946841	-0.905746	0.415909	0.081515	-0.419564	-0.852712	-0.311204
00484														9.266966	0.808238	-3.049109	-0.059983	-0.316169	0.946805	-0.905694	0.416017	0.081543	-0.419668	-0.852624	-0.311306
00485														9.305685	0.852947	-3.056035	-0.060057	-0.316270	0.946766	-0.905628	0.416155	0.081570	-0.419800	-0.852519	-0.311416
