// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
00472														9.824839	0.551844	0.548563	-0.050183	0.066053	0.996553	-0.162797	-0.985007	0.057090	0.985383	-0.159371	0.060184
00473														9.829826	0.526525	0.571632	-0.050172	0.066179	0.996546	-0.162590	-0.985033	0.057228	0.985417	-0.159157	0.060182
00474														9.859811	0.541690	0.582135	-0.050156	0.066354	0.996535	-0.162461	-0.985043	0.057413	0.985439	-0.159018	0.060185
00475														9.813097	0.567768	0.568819	-0.050089	0.066506	0.996528	-0.162425	-0.985040	0.057575	0.985449	-0.158977	0.060142
00476														9.836885	0.576487	0.545837	-0.050081	0.066677	0.996517	-0.162413	-0.985032	0.057746	0.985451	-0.158955	0.060161
00477														9.783829	0.588981	0.572525	-0.050090	0.066844	0.996505	-0.162402	-0.985024	0.057911	0.985453	-0.158934	0.060195
00478														9.826270	0.624413	0.576952	-0.050056	0.067042	0.996494	-0.162356	-0.985019	0.058114	0.985462	-0.158878	0.060190
00479														9.836437	0.580949	0.549165	-0.050054	0.067257	0.996479	-0.162287	-0.985018	0.058332	0.985473	-0.158796	0.060219
00480														9.848613	0.595778	0.616951	-0.050031	0.067469	0.996466	-0.162162	-0.985025	0.058553	0.985495	-0.158659	0.060223
00481														9.853685	0.578689	0.567118	-0.050013	0.067720	0.996450	-0.162038	-0.985030	0.058811	0.985516	-0.158521	0.060238
00482														9.847171	0.567490	0.607632	-0.049961	0.067991	0.996434	-0.161942	-0.985029	0.059093	0.985535	-0.158412	0.060223
00483														9.840827	0.563220	0.575208	-0.049932	0.068235	0.996419	-0.161914	-0.985019	0.059340	0.985541	-0.158372	0.060232
00484														9.829209	0.577816	0.593795	-0.049920	0.068466	0.996404	-0.161839	-0.985017	0.059576	0.985554	-0.158283	0.060252
00485														9.869504	0.548623	0.575688	-0.049903	0.068706	0.996388	-0.161853	-0.985000	0.059815	0.985552	-0.158283	0.060275
00486														9.809221	0.522494	0.557383	-0.049831	0.068922	0.996377	-0.161967	-0.984968	0.060032	0.985537	-0.158389	0.060245
00487														9.827706	0.550712	0.585146	-0.049767	0.069112	0.996367	-0.162107	-0.984934	0.060222	0.985517	-0.158521	0.060220
00488														9.816114	0.564794	0.603532	-0.049738	0.069309	0.996355	-0.162270	-0.984895	0.060412	0.985492	-0.158673	0.060234
00489														9.815974	0.566192	0.604508	-0.049694	0.069484	0.996345	-0.162515	-0.984845	0.060577	0.985454	-0.158910	0.060233
00490														9.810693	0.593666	0.583644	-0.049697	0.069688	0.996330	-0.162720	-0.984799	0.060765	0.985420	-0.159103	0.060282
00491														9.840594	0.609179	0.594209	-0.049606	0.069876	0.996322	-0.162953	-0.984749	0.060952	0.985386	-0.159330	0.060236
00492														9.798946	0.609260	0.602747	-0.049533	0.070092	0.996310	-0.163239	-0.984689	0.061159	0.985342	-0.159607	0.060216
00493														9.845449	0.586356	0.617544	-0.049448	0.070314	0.996299	-0.163555	-0.984623	0.061372	0.985294	-0.159915	0.060188
00494														9.841141	0.646666	0.607576	-0.049369	0.070509	0.996289	-0.163866	-0.984560	0.061559	0.985247	-0.160218	0.060160
00495														9.846149	0.622077	0.630179	-0.049275	0.070717	0.996279	-0.164224	-0.984488	0.061757	0.985192	-0.160569	0.060124
00496														9.823277	0.655773	0.592919	-0.049168	0.070911	0.996270	-0.164627	-0.984409	0.061942	0.985130	-0.160967	0.060075
00497														9.806527	0.695545	0.589108	-0.049096	0.071046	0.996264	-0.164998	-0.984339	0.062064	0.985071	-0.161334	0.060050
00498														9.824015	0.690415	0.605558	-0.049018	0.071191	0.996258	-0.165271	-0.984285	0.062203	0.985029	-0.161603	0.060014
00499														9.818737	0.717479	0.584528	-0.049008	0.071326	0.996248	-0.165537	-0.984232	0.062322	0.984985	-0.161862	0.060043
00500														9.806188	0.698312	0.591480	-0.048914	0.071468	0.996243	-0.165752	-0.984187	0.062465	0.984954	-0.162074	0.059986
00501														9.823679	0.693310	0.607705	-0.048826	0.071613	0.996237	-0.165926	-0.984149	0.062611	0.984929	-0.162244	0.059935
00502														9.789326	0.739019	0.588037	-0.048753	0.071744	0.996231	-0.166053	-0.984119	0.062745	0.984911	-0.162368	0.059892
00503														9.800710	0.727556	0.571101	-0.048710	0.071880	0.996223	-0.166084	-0.984104	0.062885	0.984908	-0.162394	0.059874
00504														9.800588	0.728596	0.571856	-0.048671	0.072023	0.996215	-0.166098	-0.984093	0.063032	0.984907	-0.162402	0.059859
00505														9.801378	0.762321	0.584060	-0.048622	0.072183	0.996206	-0.166100	-0.984082	0.063197	0.984909	-0.162397	0.059838
00506														9.829427	0.712549	0.571345	-0.048540	0.072336	0.996199	-0.166063	-0.984077	0.063364	0.984920	-0.162356	0.059779
00507														9.787771	0.712382	0.579835	-0.048507	0.072529	0.996186	-0.166036	-0.984069	0.063562	0.984926	-0.162319	0.059777
00508														9.830040	0.748032	0.584157	-0.048444	0.072693	0.996177	-0.165961	-0.984070	0.063738	0.984942	-0.162239	0.059737
00509														9.817487	0.729169	0.591031	-0.048435	0.072837	0.996167	-0.165842	-0.984080	0.063890	0.984962	-0.162112	0.059743
00510														9.835199	0.731598	0.534944	-0.048426	0.072981	0.996157	-0.165688	-0.984097	0.064043	0.984989	-0.161950	0.059747
00511														9.817203	0.731476	0.592889	-0.048406	0.073124	0.996147	-0.165472	-0.984123	0.064200	0.985026	-0.161727	0.059737
00512														9.828587	0.720299	0.576069	-0.048377	0.073277	0.996138	-0.165196	-0.984158	0.064373	0.985074	-0.161444	0.059716
00513														9.810861	0.727571	0.561069	-0.048377	0.073416	0.996127	-0.164947	-0.984190	0.064525	0.985115	-0.161187	0.059721
00514														9.821397	0.683455	0.532973	-0.048375	0.073506	0.996121	-0.164626	-0.984236	0.064635	0.985169	-0.160861	0.059713
00515														9.822168	0.716777	0.545308	-0.048384	0.073614	0.996112	-0.164314	-0.984280	0.064758	0.985221	-0.160542	0.059720
