// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
00472														9.677005	1.691271	0.464370	-0.008759	-0.169778	0.985443	0.292138	0.942053	0.164900	-0.956336	0.289330	0.041347
00473														9.673666	1.655051	0.488607	-0.008712	-0.169485	0.985494	0.291852	0.942191	0.164617	-0.956424	0.289053	0.041256
00474														9.671235	1.617768	0.463946	-0.008630	-0.169218	0.985541	0.291574	0.942323	0.164351	-0.956509	0.288777	0.041207
00475														9.636404	1.619959	0.510655	-0.008663	-0.168912	0.985593	0.291295	0.942457	0.164080	-0.956594	0.288520	0.041039
00476														9.652360	1.598803	0.510015	-0.008600	-0.168642	0.985640	0.291117	0.942559	0.163811	-0.956649	0.288345	0.040989
00477														9.633037	1.581980	0.557999	-0.008547	-0.168328	0.985694	0.291023	0.942642	0.163500	-0.956678	0.288257	0.040930
00478														9.634409	1.578198	0.508654	-0.008447	-0.168059	0.985741	0.290991	0.942701	0.163214	-0.956688	0.288221	0.040940
00479														9.653723	1.591066	0.508417	-0.008353	-0.167760	0.985793	0.291035	0.942742	0.162900	-0.956676	0.288261	0.040949
00480														9.619835	1.591644	0.507657	-0.008219	-0.167466	0.985844	0.291077	0.942784	0.162578	-0.956664	0.288293	0.040996
00481														9.639180	1.604315	0.507657	-0.008117	-0.167170	0.985895	0.291140	0.942819	0.162263	-0.956646	0.288350	0.041017
00482														9.693310	1.613076	0.484221	-0.007951	-0.166911	0.985940	0.291219	0.942846	0.161965	-0.956623	0.288412	0.041111
00483														9.731943	1.641006	0.459902	-0.007863	-0.166670	0.985981	0.291118	0.942921	0.161712	-0.956655	0.288308	0.041107
