// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
00472														0.492747	-5.241669	-8.223521	0.856410	-0.513606	0.052645	-0.409092	-0.737252	-0.537683	0.314970	0.438941	-0.841502
00473														0.467609	-5.235732	-8.246785	0.856417	-0.513596	0.052619	-0.409099	-0.737255	-0.537674	0.314941	0.438947	-0.841509
00474														0.467650	-5.235054	-8.247214	0.856436	-0.513564	0.052617	-0.409086	-0.737290	-0.537636	0.314905	0.438926	-0.841534
00475														0.516352	-5.247353	-8.226166	0.856429	-0.513574	0.052630	-0.409095	-0.737295	-0.537622	0.314912	0.438904	-0.841542
00476														0.460528	-5.256712	-8.244931	0.856444	-0.513552	0.052623	-0.409088	-0.737318	-0.537596	0.314883	0.438893	-0.841559
00477														0.493535	-5.238156	-8.225712	0.856443	-0.513553	0.052612	-0.409111	-0.737337	-0.537552	0.314854	0.438859	-0.841587
00478														0.463023	-5.252685	-8.221698	0.856454	-0.513535	0.052617	-0.409097	-0.737353	-0.537541	0.314843	0.438854	-0.841595
00479														0.499045	-5.216288	-8.253865	0.856459	-0.513529	0.052593	-0.409115	-0.737367	-0.537507	0.314806	0.438837	-0.841617
00480														0.486272	-5.259055	-8.223932	0.856463	-0.513523	0.052594	-0.409118	-0.737383	-0.537484	0.314792	0.438817	-0.841633
00481														0.461016	-5.252970	-8.247289	0.856478	-0.513498	0.052581	-0.409124	-0.737421	-0.537426	0.314742	0.438782	-0.841670
00482														0.471179	-5.226456	-8.226820	0.856478	-0.513493	0.052631	-0.409117	-0.737464	-0.537373	0.314751	0.438716	-0.841700
00483														0.469030	-5.228127	-8.251528	0.856498	-0.513467	0.052569	-0.409133	-0.737475	-0.537345	0.314678	0.438727	-0.841722
00484														0.489798	-5.237884	-8.277393	0.856500	-0.513462	0.052581	-0.409119	-0.737473	-0.537360	0.314691	0.438737	-0.841712
00485														0.482339	-5.260413	-8.274597	0.856499	-0.513466	0.052551	-0.409143	-0.737475	-0.537339	0.314661	0.438729	-0.841728
00486														0.466195	-5.244536	-8.201067	0.856501	-0.513460	0.052582	-0.409126	-0.737489	-0.537332	0.314677	0.438713	-0.841730
