// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
00472														9.414882	0.727244	-2.823645	-0.051582	-0.283693	0.957527	-0.916950	0.393314	0.067134	-0.395654	-0.874541	-0.280421
00473														9.414598	0.727969	-2.824405	-0.051496	-0.283800	0.957500	-0.917032	0.393111	0.067197	-0.395474	-0.874598	-0.280497
00474														9.389103	0.750583	-2.833697	-0.051474	-0.283833	0.957491	-0.917116	0.392921	0.067171	-0.395284	-0.874672	-0.280533
00475														9.423357	0.693018	-2.804870	-0.051436	-0.283822	0.957497	-0.917201	0.392726	0.067141	-0.395090	-0.874764	-0.280522
00476														9.414271	0.729115	-2.825200	-0.051451	-0.283837	0.957491	-0.917294	0.392521	0.067067	-0.394872	-0.874851	-0.280557
00477														9.397965	0.715017	-2.813974	-0.051432	-0.283848	0.957489	-0.917364	0.392363	0.067039	-0.394712	-0.874918	-0.280572
00478														9.423208	0.693243	-2.805315	-0.051461	-0.283829	0.957493	-0.917429	0.392224	0.066959	-0.394557	-0.874986	-0.280578
00479														9.429410	0.727215	-2.806470	-0.051440	-0.283799	0.957503	-0.917489	0.392091	0.066924	-0.394421	-0.875056	-0.280552
00480														9.433345	0.673740	-2.815182	-0.051432	-0.283773	0.957511	-0.917535	0.391988	0.066887	-0.394314	-0.875110	-0.280532
00481														9.454863	0.706129	-2.796926	-0.051365	-0.283700	0.957536	-0.917559	0.391932	0.066902	-0.394269	-0.875159	-0.280443
00482														9.438888	0.692525	-2.784464	-0.051338	-0.283594	0.957569	-0.917563	0.391925	0.066880	-0.394262	-0.875197	-0.280336
00483														9.449250	0.673598	-2.793445	-0.051245	-0.283492	0.957604	-0.917527	0.391998	0.066948	-0.394358	-0.875197	-0.280199
00484														9.454670	0.692689	-2.763015	-0.051144	-0.283422	0.957631	-0.917492	0.392065	0.067036	-0.394453	-0.875190	-0.280089
00485														9.430622	0.732362	-2.801054	-0.051031	-0.283345	0.957659	-0.917429	0.392192	0.067152	-0.394614	-0.875158	-0.279963
00486														9.430874	0.733658	-2.799867	-0.051000	-0.283247	0.957690	-0.917380	0.392302	0.067174	-0.394731	-0.875140	-0.279853
00487														9.450310	0.678943	-2.788561	-0.050916	-0.283135	0.957727	-0.917331	0.392406	0.067239	-0.394856	-0.875130	-0.279709
00488														9.435420	0.682036	-2.806216	-0.050888	-0.283026	0.957761	-0.917275	0.392534	0.067259	-0.394990	-0.875108	-0.279588
00489														9.461034	0.661107	-2.796120	-0.050834	-0.282903	0.957800	-0.917229	0.392637	0.067292	-0.395105	-0.875101	-0.279446
00490														9.467550	0.695832	-2.795910	-0.050839	-0.282758	0.957843	-0.917140	0.392843	0.067290	-0.395309	-0.875056	-0.279300
00491														9.507401	0.656270	-2.736232	-0.050860	-0.282606	0.957887	-0.917034	0.393091	0.067283	-0.395552	-0.874993	-0.279153
