// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Year	Month	Day	Second	UTC_Nano	UTC_Year	UTC_Month	UTC_Day	UTC_Hour	UTC_Minute	UTC_Second	UTC_Valid	Acc_X	Acc_Y	Acc_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
00472														9.717161	-1.104842	-0.829422	0.057089	-0.129699	0.989909	-0.223078	-0.968114	-0.113978	0.973127	-0.214320	-0.084202
00473														9.714211	-1.079161	-0.829159	0.057024	-0.129471	0.989942	-0.223016	-0.968152	-0.113774	0.973145	-0.214285	-0.084082
00474														9.711922	-1.080300	-0.861756	0.056983	-0.129283	0.989969	-0.222988	-0.968179	-0.113602	0.973154	-0.214277	-0.083998
00475														9.695723	-1.053273	-0.809026	0.056973	-0.129126	0.989990	-0.222992	-0.968196	-0.113451	0.973154	-0.214296	-0.083955
00476														9.727504	-1.050212	-0.844767	0.056889	-0.128939	0.990019	-0.223066	-0.968199	-0.113279	0.973142	-0.214395	-0.083842
00477														9.687774	-1.032019	-0.876181	0.056859	-0.128797	0.990040	-0.223064	-0.968215	-0.113147	0.973144	-0.214408	-0.083781
00478														9.724685	-1.024085	-0.843330	0.056807	-0.128660	0.990060	-0.223072	-0.968227	-0.113024	0.973145	-0.214435	-0.083703
00479														9.712425	-1.048288	-0.821723	0.056777	-0.128518	0.990081	-0.223070	-0.968243	-0.112892	0.973148	-0.214448	-0.083642
00480														9.710060	-1.050098	-0.854678	0.056734	-0.128400	0.990098	-0.223037	-0.968263	-0.112788	0.973158	-0.214430	-0.083571
00481														9.735220	-1.093993	-0.834316	0.056688	-0.128236	0.990122	-0.222997	-0.968290	-0.112640	0.973170	-0.214409	-0.083487
00482														9.717123	-1.096636	-0.848442	0.056619	-0.128109	0.990143	-0.223012	-0.968299	-0.112530	0.973170	-0.214443	-0.083394
00483														9.735663	-1.092333	-0.831316	0.056603	-0.127980	0.990160	-0.223029	-0.968309	-0.112406	0.973167	-0.214472	-0.083352
